player_id,name,season,age,team_id,pos,games,minutes_played,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,obpm,dbpm,bpm,uni_url
jared-cunningham-2,Jared Cunningham,2020-21,23,LAC,SG,19,89,7.3,.452,.394,.394,1.3,9.9,5.7,16.4,1.7,0.0,15.3,23.2,-0.1,0.1,0.0,-6.1,-2.0,-8.1,https://www.sports-reference.com/cbb/players/jared-cunningham-2.html
tony-wroten-1,Tony Wroten,2020-21,21,PHI,PG,30,895,14.9,.494,.327,.415,2.5,8.1,5.2,34.9,2.7,0.7,18.0,30.5,-0.6,0.9,0.3,0.0,-1.2,-1.2,https://www.sports-reference.com/cbb/players/tony-wroten-1.html
miles-plumlee-1,Miles Plumlee,2020-21,26,TOT,C,73,1194,13.4,.536,.000,.181,10.3,19.3,14.8,4.2,1.7,4.3,15.7,12.0,0.9,1.7,2.6,-1.5,1.0,-0.6,https://www.sports-reference.com/cbb/players/miles-plumlee-1.html
perry-jones-1,Perry Jones,2020-21,23,OKC,SF,43,631,6.9,.459,.326,.201,1.0,11.7,6.5,4.2,1.4,1.0,10.7,15.3,-0.3,0.5,0.2,-4.0,-0.4,-4.4,https://www.sports-reference.com/cbb/players/perry-jones-1.html
marquis-teague-1,Marquis Teague,2020-21,24,MEM,PG,3,74,5.7,.302,.250,.313,1.5,8.0,4.7,24.7,2.7,0.0,14.2,12.9,-0.1,0.0,-0.1,-5.4,-0.4,-5.7,https://www.sports-reference.com/cbb/players/marquis-teague-1.html
festus-ezeli-1,Festus Ezeli,2020-21,26,GSW,C,46,770,17.7,.559,.000,.579,13.5,21.9,18.0,5.8,1.1,4.8,11.7,18.2,1.4,1.3,2.7,-0.6,0.4,-0.1,https://www.sports-reference.com/cbb/players/festus-ezeli-1.html
jeffery-taylor-1,Jeff Taylor,2020-21,25,CHO,SF,29,430,8.2,.481,.316,.360,3.5,10.3,6.8,8.2,1.4,0.2,12.6,16.0,-0.1,0.4,0.3,-4.2,-0.6,-4.9,https://www.sports-reference.com/cbb/players/jeffery-taylor-1.html
bernard-james--1,Bernard James,2020-21,29,DAL,C,16,158,16.0,.593,.000,.852,12.5,14.6,13.5,3.4,0.6,7.7,13.9,12.2,0.4,0.2,0.5,-0.5,1.2,0.8,https://www.sports-reference.com/cbb/players/bernard-james--1.html
jae-crowder-1,Jae Crowder,2020-21,24,TOT,SF,82,1647,13.9,.517,.382,.259,4.7,14.9,9.7,8.6,2.2,1.2,7.5,17.5,1.9,2.0,3.9,-0.2,0.7,0.5,https://www.sports-reference.com/cbb/players/jae-crowder-1.html
draymond-green-1,Draymond Green,2020-21,24,GSW,PF,79,2490,16.4,.540,.430,.261,5.1,22.4,14.0,16.1,2.4,2.9,13.5,17.2,3.3,5.2,8.5,0.7,2.8,3.5,https://www.sports-reference.com/cbb/players/draymond-green-1.html
