position,body_fat_pct,hand_length,hand_width,height_wo_shoes,height_w_shoes,standing_reach,weight,wingspan,player_id
SF,7.25,229,260,1949,1981,2578,218.6,2121,george-king-1
PF,5.0,235,241,2057,2096,2794,194.8,2191,kostas-antetokounmpo-1
C,7.7,232,250,2091,2125,2791,242.7,2213,justin-hamilton-2
C,7.7,232,250,2091,2125,2791,242.7,2213,stephen-zimmermanjr-1
C,7.7,232,250,2091,2125,2791,242.7,2213,domantas-sabonis-1
C,7.7,232,250,2091,2125,2791,242.7,2213,cady-lalanne-1
C,7.7,232,250,2091,2125,2791,242.7,2213,edrice-adebayo-1
C,7.7,232,250,2091,2125,2791,242.7,2213,jahlil-okafor-1
C,7.7,232,250,2091,2125,2791,242.7,2213,aj-hammons-1
C,7.7,232,250,2091,2125,2791,242.7,2213,jonah-bolden-1
C,7.7,232,250,2091,2125,2791,242.7,2213,deandre-ayton-1
C,7.7,232,250,2091,2125,2791,242.7,2213,joel-embiid-1
C,7.7,232,250,2091,2125,2791,242.7,2213,karl-anthony-towns-1
C,7.7,232,250,2091,2125,2791,242.7,2213,robert-sacre-1
C,7.7,232,250,2091,2125,2791,242.7,2213,wendell-carterjr-1
C,7.7,232,250,2091,2125,2791,242.7,2213,robert-williams-3
C,6.4,229,273,2091,2125,2791,242.7,2222,alex-len-1
PF,8.2,230,245,2043,2074,2720,233.3,2174,marvin-bagleyiii-1
PF,8.2,230,245,2043,2074,2720,233.3,2174,jarred-vanderbilt-1
PF,8.2,230,245,2043,2074,2720,233.3,2174,anthony-bennett-1
PF,8.2,230,245,2043,2074,2720,233.3,2174,jonathan-isaac-1
PF,8.2,230,245,2043,2074,2720,233.3,2174,ben-simmons-1
PF,8.2,230,245,2043,2074,2720,233.3,2174,jabari-parker-1
PF,8.2,230,245,2043,2074,2720,233.3,2174,lauri-markkanen-1
PF,8.2,230,245,2043,2074,2720,233.3,2174,jaren-jacksonjr-1
PF,8.2,230,245,2043,2074,2720,233.3,2174,alex-oriakhi-1
PF,8.2,230,245,2043,2074,2720,233.3,2174,mitch-mcgary-1
PF,8.2,230,245,2043,2074,2720,233.3,2174,aaron-white-3
PG,5.8,211,224,1871,1904,2479,186.7,1990,dennis-smithjr-1
PG,5.8,211,224,1871,1904,2479,186.7,1990,gary-trentjr-1
PG,5.8,211,224,1871,1904,2479,186.7,1990,frank-mason-1
PG,5.8,211,224,1871,1904,2479,186.7,1990,lonzo-ball-1
PG,5.8,211,224,1871,1904,2479,186.7,1990,markelle-fultz-1
PG,5.8,211,224,1871,1904,2479,186.7,1990,tyrone-wallace-1
PG,5.8,211,224,1871,1904,2479,186.7,1990,dejounte-murray-1
PG,5.8,211,224,1871,1904,2479,186.7,1990,jamal-murray-1
PG,5.8,211,224,1905,1937,2540,186.7,2070,kris-dunn-1
PG,5.8,211,224,1871,1904,2479,186.7,1990,joseph-young-1
SF,6.6,223,239,1983,2017,2631,215.5,2111,chandler-hutchison-1
